Date,2330.TW,2454.TW,2886.TW
2018-03-12,227.241425,291.9646,20.366718
2018-03-13,231.714661,293.806671,20.52677
2018-03-14,229.925354,288.741028,20.246675
2018-03-15,228.136078,292.88559,20.086624
2018-03-16,228.136078,291.9646,20.406729
2018-03-19,228.136078,307.622009,20.366718
2018-03-20,226.346786,315.450714,20.286692
2018-03-21,225.89946,309.46405,20.286692
2018-03-22,225.004791,309.46405,20.326704
2018-03-23,219.189545,302.095856,20.166653
2018-03-26,217.847595,319.595306,20.126637
2018-03-27,224.557465,315.450714,20.326704
2018-03-28,219.189545,306.700958,20.046612
2018-03-29,218.294907,304.858917,20.046612
2018-03-30,220.084213,313.148132,20.086624
2018-04-02,220.53154,309.924561,20.286692
2018-04-03,218.294907,302.095856,20.206665
2018-04-09,219.189545,301.635315,20.366718
2018-04-10,219.636887,301.174835,20.52677
2018-04-11,221.87352,312.227142,20.406729
2018-04-12,219.189545,305.319427,20.52677
2018-04-13,218.742233,309.46405,20.486759
2018-04-16,217.847595,314.990204,20.52677
2018-04-17,212.927017,313.148132,20.286692
2018-04-18,212.927017,333.410675,20.166653
2018-04-19,218.742233,332.029114,20.606798
2018-04-20,204.875137,326.502991,20.566786
2018-04-23,202.638519,322.818909,20.646811
2018-04-24,203.085831,314.529663,20.726835
2018-04-25,201.296539,310.385071,20.806862
2018-04-26,198.612579,297.951233,20.76685
2018-04-27,199.954559,312.687653,20.806862
2018-04-30,203.085831,313.148132,21.006927
2018-05-02,199.507217,304.858917,21.006927
2018-05-03,197.270599,294.727661,20.886889
2018-05-04,199.507217,299.793304,20.646811
2018-05-07,199.954559,293.346161,20.806862
2018-05-08,203.980499,299.332764,20.966915
2018-05-09,205.322464,302.095856,20.926901
2018-05-10,205.322464,303.477417,20.886889
2018-05-11,208.453751,294.267151,21.126968
2018-05-14,208.453751,294.727661,21.206995
2018-05-15,206.217102,293.806671,21.04694
2018-05-16,206.217102,293.806671,21.166983
2018-05-17,202.638519,285.517426,21.166983
2018-05-18,199.954559,288.280518,21.367048
2018-05-21,204.875137,289.201508,21.607126
2018-05-22,204.875137,295.188202,21.447073
2018-05-23,204.427811,294.727661,21.527102
2018-05-24,204.875137,296.569702,21.647141
2018-05-25,204.427811,298.411774,21.487087
2018-05-28,203.085831,293.346161,21.727165
2018-05-29,201.296539,290.122559,21.527102
2018-05-30,197.717926,285.517426,21.086954
2018-05-31,200.401886,286.898956,21.006927
2018-06-01,200.401886,293.806671,21.367048
2018-06-04,204.875137,303.477417,21.687153
2018-06-05,204.875137,299.332764,21.887218
2018-06-06,205.769791,304.858917,21.927233
2018-06-07,205.769791,304.858917,21.887218
2018-06-08,203.085831,303.937927,21.687153
2018-06-11,202.191193,306.240479,21.567114
2018-06-12,204.875137,298.411774,21.407061
2018-06-13,207.559113,295.188202,21.407061
2018-06-14,202.638519,290.122559,21.287022
2018-06-15,206.664429,290.122559,21.407061
2018-06-19,201.296539,287.359497,21.086954
2018-06-20,202.191193,285.517426,21.287022
2018-06-21,202.638519,287.359497,21.287022
2018-06-22,203.533157,285.977936,21.287022
2018-06-25,202.142273,285.517426,21.247009
2018-06-26,198.896866,273.083618,21.327034
2018-06-27,197.505997,273.083618,21.327034
2018-06-28,196.57872,273.544128,21.04694
2018-06-29,200.751389,276.30719,21.527102
2018-07-02,198.433243,280.912292,21.206995
2018-07-03,198.896866,280.451782,21.126968
2018-07-04,200.287735,274.465118,21.206995
2018-07-05,198.896866,259.26825,21.206995
2018-07-06,201.215027,262.491791,21.166983
2018-07-09,205.387665,260.10553,21.247009
2018-07-10,205.851303,267.264404,21.367048
2018-07-11,203.996796,263.44635,21.247009
2018-07-12,204.460403,270.12796,21.487087
2018-07-13,208.169464,272.036957,21.607126
2018-07-16,207.242203,269.650696,21.447073
2018-07-17,205.387665,272.514252,21.567114
2018-07-18,206.77858,268.218903,21.607126
2018-07-19,208.169464,271.082458,21.487087
2018-07-20,220.223831,267.264404,21.527102
2018-07-23,223.469193,259.151001,21.567114
2018-07-24,223.469193,243.401505,21.687153
2018-07-25,223.005569,250.560379,21.767178
2018-07-26,223.469193,251.037643,21.887218
2018-07-27,226.71463,255.332947,21.807194
2018-07-30,227.641891,248.174088,21.807194
2018-07-31,228.105499,242.446991,21.807194
2018-08-01,229.959991,262.491821,21.967247
2018-08-02,226.71463,256.76474,21.887218
2018-08-03,229.032745,261.537292,21.887218
2018-08-06,227.641891,260.582794,21.847206
2018-08-07,223.932816,262.969086,21.847206
2018-08-08,229.496368,264.878113,21.887218
2018-08-09,229.032745,262.491821,22.056559
2018-08-10,227.178268,262.014557,22.31057
2018-08-13,223.005569,251.514893,22.14123
2018-08-14,225.787384,252.946671,22.014225
2018-08-15,223.932816,248.174088,21.675545
2018-08-16,221.614716,236.24263,21.463869
2018-08-17,222.078339,235.765381,21.633209
2018-08-20,222.078339,235.765381,21.590872
2018-08-21,223.469193,234.333603,21.887218
2018-08-22,224.396439,236.24263,21.971889
2018-08-23,226.71463,241.492477,22.098894
2018-08-24,225.787384,238.628937,22.014225
2018-08-27,227.178268,236.24263,21.844885
2018-08-28,231.350922,240.537964,21.929554
2018-08-29,240.159882,244.356033,21.887218
2018-08-30,244.33252,244.356033,21.844885
2018-08-31,237.378067,240.060715,21.844885
2018-09-03,238.305344,238.151672,21.802549
2018-09-04,238.768982,241.969742,22.056559
2018-09-05,244.796158,242.446991,21.760216
2018-09-06,242.014374,243.401505,21.929554
2018-09-07,244.796158,236.71991,21.929554
2018-09-10,245.259796,231.470062,21.844885
2018-09-11,241.087112,232.901825,22.014225
2018-09-12,241.550751,232.901825,22.014225
2018-09-13,236.450821,230.992798,22.098894
2018-09-14,242.014374,234.333603,21.971889
2018-09-17,239.232605,232.424576,22.352905
2018-09-18,235.987198,233.379105,22.691584
2018-09-19,239.232605,233.856354,22.860924
2018-09-20,241.087112,227.174744,22.860924
2018-09-21,242.477997,231.947327,22.987928
2018-09-25,244.33252,232.424576,23.114937
2018-09-26,244.33252,230.515549,23.114937
2018-09-27,245.723434,230.515549,23.114937
2018-09-28,243.405243,235.288132,23.284275
2018-10-01,243.868881,238.628937,23.284275
2018-10-02,238.768982,233.856354,22.987928
2018-10-03,241.087112,234.810883,22.945597
2018-10-04,235.52356,230.992798,23.114937
2018-10-05,231.814545,223.833939,22.691584
2018-10-08,225.787384,222.879425,22.860924
2018-10-09,226.250992,218.106842,23.326611
2018-10-11,210.951233,200.925552,22.437576
2018-10-12,219.760178,209.993454,22.860924
2018-10-15,213.733017,210.947983,22.47991
2018-10-16,219.760178,211.902496,22.522245
2018-10-17,221.151077,214.288788,22.564579
2018-10-18,219.296555,214.766037,22.31057
2018-10-19,218.832901,212.379745,22.225899
2018-10-22,219.760178,211.425232,22.14123
2018-10-23,213.269379,204.266357,22.183563
2018-10-24,212.805771,204.266357,22.014225
2018-10-25,203.533157,200.448303,21.633209
2018-10-26,204.924042,192.81218,21.463869
2018-10-29,206.314926,198.539276,21.421532
2018-10-30,206.77858,197.584747,21.54854
2018-10-31,216.978394,217.152328,22.14123
2018-11-01,218.369293,213.334259,21.887218
2018-11-02,219.296555,217.152328,22.225899
2018-11-05,217.90567,219.53862,22.268232
2018-11-06,217.442017,219.53862,22.225899
2018-11-07,216.978394,224.311203,22.437576
2018-11-08,219.296555,224.311203,22.606916
2018-11-09,214.196625,218.106842,22.395241
2018-11-12,214.660263,223.833939,22.437576
2018-11-13,210.951233,220.493134,22.437576
2018-11-14,211.878479,219.53862,22.437576
2018-11-15,214.196625,220.970398,22.352905
2018-11-16,209.560318,209.993454,22.437576
2018-11-19,205.851303,213.334259,22.437576
2018-11-20,202.142273,214.766037,22.268232
2018-11-21,203.069534,212.85701,22.268232
2018-11-22,203.069534,212.379745,22.183563
2018-11-23,202.605911,211.902496,22.225899
2018-11-26,206.77858,217.629593,22.14123
2018-11-27,207.705826,221.447647,21.971889
2018-11-28,210.023956,225.742966,22.14123
2018-11-29,212.342117,220.970398,21.802549
2018-11-30,209.09671,226.697479,21.675545
2018-12-03,217.90567,234.333603,21.887218
2018-12-04,216.978394,240.537964,22.056559
2018-12-05,209.560318,233.379105,21.887218
2018-12-06,203.996796,219.061371,21.844885
2018-12-07,204.924042,222.879425,21.887218
2018-12-10,203.069534,218.584091,21.717878
2018-12-11,206.314926,217.629593,21.802549
2018-12-12,210.023956,222.402176,21.760216
2018-12-13,209.560318,226.697479,21.760216
2018-12-14,206.314926,225.265717,21.717878
2018-12-17,207.242203,224.311203,21.844885
2018-12-18,206.314926,223.833939,21.675545
2018-12-19,209.09671,225.265717,21.760216
2018-12-20,204.924042,214.766037,21.760216
2018-12-21,207.242203,213.334259,21.717878
2018-12-24,203.996796,214.766037,21.590872
2018-12-25,201.67865,210.947983,21.463869
2018-12-26,200.751389,209.993454,21.379198
2018-12-27,206.77858,214.766037,21.421532
2018-12-28,209.09671,219.061371,21.971889
2019-01-02,203.533157,210.470718,21.54854
2019-01-03,199.824097,213.334259,21.54854
2019-01-04,192.86969,207.129913,21.379198
2019-01-07,197.505997,209.03894,21.675545
2019-01-08,195.651474,211.902496,21.590872
2019-01-09,199.824097,215.720566,21.887218
2019-01-10,200.287735,215.720566,22.098894
2019-01-11,204.460403,217.152328,22.014225
2019-01-14,202.605911,220.970398,22.056559
2019-01-15,204.924042,222.402176,22.183563
2019-01-16,201.67865,226.22023,22.014225
2019-01-17,204.460403,226.22023,22.098894
2019-01-18,202.605911,232.901825,22.098894
2019-01-21,204.924042,233.379105,22.225899
2019-01-22,206.77858,230.992798,22.395241
2019-01-23,204.460403,230.0383,22.522245
2019-01-24,206.314926,233.379105,22.522245
2019-01-25,209.560318,236.71991,22.437576
2019-01-28,212.342117,237.197159,22.437576
2019-01-29,206.314926,234.333603,22.606916
2019-01-30,204.924042,231.947327,22.522245
2019-02-11,211.414856,247.696838,22.352905
2019-02-12,213.269379,245.787796,22.47991
2019-02-13,212.342117,247.219574,22.47991
2019-02-14,210.487595,243.878769,22.437576
2019-02-15,210.487595,240.537964,22.352905
2019-02-18,213.269379,241.969742,22.606916
2019-02-19,212.342117,238.628937,22.691584
2019-02-20,217.442017,243.878769,22.81859
2019-02-21,219.296555,247.219574,22.860924
2019-02-22,219.296555,251.992157,22.81859
2019-02-25,220.687439,269.650696,22.945597
2019-02-26,222.078339,263.923615,22.860924
2019-02-27,221.614716,267.264404,23.072601
2019-03-04,218.369293,264.400848,22.860924
2019-03-05,216.051163,260.582794,22.81859
2019-03-06,216.978394,267.264404,22.945597
2019-03-07,216.978394,261.537292,22.945597
2019-03-08,213.269379,255.332947,22.860924
2019-03-11,213.733017,257.719238,23.072601
2019-03-12,218.369293,258.196503,23.114937
2019-03-13,219.760178,260.582794,23.241943
2019-03-14,217.442017,260.10553,23.114937
2019-03-15,221.614716,263.44635,23.241943
2019-03-18,223.469193,265.355347,23.580622
2019-03-19,223.005569,262.969086,23.707626
2019-03-20,224.396439,262.014557,23.707626
2019-03-21,227.641891,264.878113,23.792295
2019-03-22,230.423645,271.082458,23.707626
2019-03-25,223.932816,263.923615,23.495951
2019-03-26,226.250992,268.218903,23.707626
2019-03-27,223.932816,266.78714,23.665291
2019-03-28,224.396439,263.923615,23.665291
2019-03-29,227.641891,269.650696,23.74996
2019-04-01,227.641891,272.514252,23.622955
2019-04-02,228.105499,277.286804,23.580622
2019-04-03,228.569122,277.286804,23.707626
2019-04-08,234.596313,281.104858,23.74996
2019-04-09,235.52356,285.877472,23.876968
2019-04-10,235.52356,286.354706,23.834633
2019-04-11,233.669052,278.241333,23.919302
2019-04-12,233.669052,280.15036,23.961636
2019-04-15,236.914459,283.013916,23.876968
2019-04-16,238.305344,286.354706,23.792295
2019-04-17,242.477997,275.377808,23.792295
2019-04-18,245.259796,277.764069,23.876968
2019-04-19,245.259796,276.80957,23.834633
2019-04-22,246.650681,275.855042,23.707626
2019-04-23,248.505157,276.80957,23.876968
2019-04-24,249.432419,276.332306,24.25798
2019-04-25,248.04155,274.900513,24.342651
2019-04-26,241.087112,276.80957,24.511993
2019-04-29,240.623505,274.423279,24.850672
2019-04-30,240.159882,282.059418,25.104683
2019-05-02,240.159882,284.445679,25.485699
2019-05-03,245.723434,294.945374,25.443363
2019-05-06,240.159882,292.081818,25.443363
2019-05-07,243.405243,296.85437,25.824377
2019-05-08,241.087112,295.899872,25.824377
2019-05-09,237.841705,286.354706,25.316359
2019-05-10,237.378067,284.922974,25.062347
2019-05-13,232.278183,273.46875,24.977678
2019-05-14,230.423645,275.855042,24.977678
2019-05-15,230.887268,276.80957,25.147017
2019-05-16,229.032745,274.900513,25.020012
2019-05-17,223.932816,277.764069,25.40103
2019-05-20,220.687439,276.80957,25.739708
2019-05-21,216.978394,277.286804,25.951382
2019-05-22,220.687439,274.423279,25.782043
2019-05-23,213.269379,278.718597,25.866713
2019-05-24,216.051163,273.946014,25.824377
2019-05-27,214.196625,268.218903,25.824377
2019-05-28,213.733017,267.741669,25.612703
2019-05-29,212.805771,267.741669,25.866713
2019-05-30,214.196625,283.013916,25.993719
2019-05-31,218.369293,296.85437,26.247728
2019-06-03,220.687439,299.717926,26.247728
2019-06-04,216.051163,296.85437,26.163059
2019-06-05,217.90567,298.763428,26.163059
2019-06-06,215.123886,293.036316,26.840422
2019-06-10,222.541946,301.626984,27.052095
2019-06-11,226.71463,293.990845,26.50174
2019-06-12,228.105499,295.422638,25.993719
2019-06-13,222.541946,295.422638,25.90905
2019-06-14,218.832901,293.036316,25.951382
2019-06-17,216.051163,286.83197,25.993719
2019-06-18,218.369293,294.468109,26.078388
2019-06-19,226.250992,294.468109,26.459404
2019-06-20,227.178268,295.899872,26.67108
2019-06-21,230.423645,299.240692,26.078388
2019-06-24,230.902695,301.149719,26.120724
2019-06-25,228.507446,297.331635,26.205397
2019-06-26,224.675018,296.377136,26.290064
2019-06-27,230.423645,298.763428,26.120724
2019-06-28,228.986511,299.717926,26.163059
2019-07-01,238.08847,299.717926,26.163059
2019-07-02,238.56752,304.49054,26.290064
2019-07-03,232.339859,303.058746,26.374735
2019-07-04,233.777023,304.49054,26.417068
2019-07-05,232.818924,306.399536,26.586409
2019-07-08,232.339859,308.363647,26.586409
2019-07-09,231.860809,307.87262,26.755751
2019-07-10,236.651321,312.29184,26.755751
2019-07-11,239.525635,316.71106,26.967426
2019-07-12,240.004684,312.29184,26.967426
2019-07-15,243.837082,308.854675,26.840422
2019-07-16,245.274246,308.363647,27.052095
2019-07-17,241.441833,304.435455,27.009758
2019-07-18,243.358047,296.579041,26.967426
2019-07-19,248.148544,299.03418,26.967426
2019-07-22,252.939072,302.962372,27.009758
2019-07-23,252.939072,308.854675,27.179098
2019-07-24,253.897156,302.471344,27.263771
2019-07-25,253.897156,307.381592,27.306105
2019-07-26,250.064758,307.87262,27.348438
2019-07-29,250.064758,313.273895,27.179098
2019-07-30,249.106659,319.657227,27.179098
2019-07-31,248.627609,308.854675,27.179098
2019-08-01,245.753296,308.363647,26.798086
